record_date,theme,eodhd_symbol,name,skill_verdict,tier,entry_price,currency,entry_stage,thesis,invalidation,notes
2026-07-06,A股能源转型,603290.SHG,斯达半导,候选,中游卖铲子,126.71,CNY,early-uptrend,国内IGBT模块龙头；新能源车/光伏/风电/电网变流器通用。,跌破¥110且1月动量转负；或新能源车用IGBT订单连续下滑。,同时出现在半导体主题。
2026-07-06,A股能源转型,603799.SHG,华友钴业,候选,上游咽喉,46.91,CNY,downtrend/basing,资源+冶炼+前驱体一体化；估值处于周期底部，上游资源属性强。,钴镍价格继续下跌且前驱体毛利率跌破8%。,周期股，底部确认需时间；海外政策风险。
2026-07-06,A股能源转型,000792.SHE,盐湖股份,候选,上游咽喉,29.25,CNY,downtrend/basing,国内成本最低的盐湖提锂之一；资源护城河深厚。,碳酸锂价格跌破¥7万元/吨并持续两个季度。,锂周期底部左侧；若锂价二次探底将再承压。
2026-07-06,A股能源转型,688234.SHG,天岳先进,观察,上游咽喉,141.41,CNY,range/neutral,SiC 8英寸导电衬底全球市占率高；最上游瓶颈。,连续两个季度营收环比下滑或毛利率未转正。,无PE、近3月+65%已部分定价；等回调或盈利信号。
2026-07-06,A股能源转型,603606.SHG,东方电缆,观察,上游咽喉,42.04,CNY,range/neutral,海缆三寡头，瓶颈逻辑强。,2026年海缆新签订单同比大幅下滑或毛利率跌破25%。,下游海风开工节奏不确定。
2026-07-06,A股机器人,300224.SHE,正海磁材,观察,上游咽喉,13.38,CNY,range/neutral,稀土永磁材料龙头，电机必需材料。,跌破¥11.5且1月动量转负；或稀土价格继续下跌/机器人磁材订单无增长。,eps_growth -32%、rev_growth -6%，基本面与机器人叙事脱节。
2026-07-06,A股机器人,688190.SHG,云路股份,观察,上游咽喉,85.59,CNY,range/neutral,非晶/纳米晶软磁材料龙头，高效电机铁芯核心材料。,跌破¥70且1月动量转负；或非晶电机铁芯渗透率无提升。,eps_growth -21%；题材最冷但业绩也承压。
2026-07-06,A股机器人,300718.SHE,长盛轴承,观察,中游卖铲子,70.52,CNY,range/neutral,自润滑轴承龙头，机器人关节/丝杠潜在BOM。,跌破¥55且1月动量转负；或自润滑轴承未进入主流机器人BOM。,forward PE 86x、PEG 5.34，估值太贵。
2026-07-06,A股机器人,688017.SHG,绿的谐波,观察,中游卖铲子,453.98,CNY,extended/parabolic,国内谐波减速器龙头，人形机器人旋转关节BOM必备。,跌破6个月区间中位（约¥350）且1月动量转负。,3个月+135%、区间88%分位，已过热。
2026-07-06,A股机器人,603009.SHG,北特科技,观察,中游卖铲子,52.9,CNY,early-uptrend,转向器壳体龙头向行星滚柱丝杠延伸；人形线性关节稀缺标的。,跌破¥42且1月动量转负；或行星滚柱丝杠量产推迟>6个月。,估值150x+，需量产公告验证。
