theme,ticker,name,rating,entry_price,target_range,time_frame,invalidation,catalyst,notes,scan_date
A股机器人,603662.SH,柯力传感,🟡,73.2,76.86-98.82,3-9个月（需触发）,跌破¥60且1个月动量转负；或六维力传感器订单 miss。,人形机器人量产爬坡/国产替代订单/丝杠&传感器送样通过/稀土&软磁材料需求放量,六维力传感器国内领先，已送样多家机器人客户；估值较高，利润短期下滑。,2026-07-06
A股机器人,603667.SH,五洲新春,🟡,68.54,71.97-92.53,3-9个月（需触发）,跌破¥55且1个月动量转负；或丝杠业务营收占比<5%持续。,人形机器人量产爬坡/国产替代订单/丝杠&传感器送样通过/稀土&软磁材料需求放量,滚珠丝杠+轴承，人形机器人线性关节潜在供应商；营收/利润短期承压，估值偏高。,2026-07-06
A股机器人,603728.SH,鸣志电器,🟡,65.09,68.34-87.87,3-9个月（需触发）,跌破¥55且1个月动量转负；或空心杯电机未通过特斯拉验证/份额低于预期。,人形机器人量产爬坡/国产替代订单/丝杠&传感器送样通过/稀土&软磁材料需求放量,空心杯电机国内第一阵营，送样特斯拉Optimus灵巧手；估值高企，业绩释放节奏待验证。,2026-07-06
A股机器人,603915.SH,国茂股份,🟡,15.25,16.01-20.59,3-9个月（需触发）,跌破¥13且1个月动量转负；或机器人减速器无订单。,人形机器人量产爬坡/国产替代订单/丝杠&传感器送样通过/稀土&软磁材料需求放量,通用减速机龙头，机器人减速器布局中；估值84x，弹性一般。,2026-07-06
A股机器人,688017.SH,绿的谐波,🟡,453.98,476.68-612.87,3-9个月（需触发）,跌破6个月区间中位（约¥350）且1个月动量转负；或 harmonic reducer 订单被日本HD夺回份额。,人形机器人量产爬坡/国产替代订单/丝杠&传感器送样通过/稀土&软磁材料需求放量,国内谐波减速器龙头，市占率超60%，人形机器人旋转关节BOM必备；已切入特斯拉/国内本体供应链。但股价已大幅前置反映。,2026-07-06
A股机器人,688160.SH,步科股份,🟡,129.52,136.0-174.85,3-9个月（需触发）,跌破¥100且1个月动量转负；或无框力矩电机大客户流失。,人形机器人量产爬坡/国产替代订单/丝杠&传感器送样通过/稀土&软磁材料需求放量,无框力矩电机+关节模组，专门面向人形机器人；收入放量中但估值不便宜。,2026-07-06
A股机器人,688322.SH,奥比中光,🟡,127.21,133.57-171.73,3-9个月（需触发）,跌破¥100且1个月动量转负；或3D视觉在机器人中渗透率不及预期。,人形机器人量产爬坡/国产替代订单/丝杠&传感器送样通过/稀土&软磁材料需求放量,3D视觉传感器龙头，机器人之眼；3个月+68%，估值400x+，已过热。,2026-07-06
A股机器人,688400.SH,凌云光,🟡,61.7,64.79-83.3,3-9个月（需触发）,跌破¥45且1个月动量转负；或利润增长不可持续。,人形机器人量产爬坡/国产替代订单/丝杠&传感器送样通过/稀土&软磁材料需求放量,机器视觉+光通信，AI/机器人视觉方案；利润暴增但营收略降，估值波动大。,2026-07-06
A股机器人,688686.SH,奥普特,🟡,155.1,162.85-209.39,3-9个月（需触发）,跌破¥120且1个月动量转负；或机器视觉下游订单放缓。,人形机器人量产爬坡/国产替代订单/丝杠&传感器送样通过/稀土&软磁材料需求放量,机器视觉核心器件，进入锂电/汽车/机器人；3个月+70%，估值134x。,2026-07-06
A股机器人,688698.SH,伟创电气,🟡,59.86,62.85-80.81,3-9个月（需触发）,跌破¥50且1个月动量转负；或机器人伺服订单无进展。,人形机器人量产爬坡/国产替代订单/丝杠&传感器送样通过/稀土&软磁材料需求放量,伺服系统+变频器，机器人下游占比仍小；股价处于6个月低位，估值合理但弹性不足。,2026-07-06
A股机器人,300953.SZ,震裕科技,🟡,142.22,149.33-192.0,3-9个月（需触发）,跌破¥110且1个月动量转负；或Optimus/国内人形订单无visibility。,人形机器人量产爬坡/国产替代订单/丝杠&传感器送样通过/稀土&软磁材料需求放量,反向式行星滚柱丝杠+线性执行器，直接受益Optimus量产；估值偏高，等待订单visibility。,2026-07-06
A股机器人,688320.SH,禾川科技,🟡,41.68,43.76-56.27,3-9个月（需触发）,跌破¥32且1个月动量转负；或伺服业务连续两季度下滑。,人形机器人量产爬坡/国产替代订单/丝杠&传感器送样通过/稀土&软磁材料需求放量,伺服与PLC，人形机器人专用电机通过部分客户认证；缺乏PE数据，股价已处高位。,2026-07-06
